Name,Party,Location 1,Grade Level (since 1996),Grade Level (112th Congress),Years in Congress,DW1 Score
Rep. Blake Farenthold,R,"TX (31.82724000022597, -99.42676999973554)",9.551641347,9.551641347,1,0.518
Sen. Chuck Schumer,D,"NY (42.82699999955048, -75.54396999981549)",9.564084796,9.934968234,11,-0.379
Sen. Claire McCaskill,D,"MO (38.63578999960896, -92.5663000000448)",9.569931242,9.438729724,3,-0.177
Rep. Renee Ellmers,R,"NC (35.46624999963797, -79.1593199999179)",9.587071649,9.587071649,1,0.494
Rep. Morgan Griffith,R,"VA (37.54268000028196, -78.45789000012326)",9.60450071,9.60450071,1,0.529
Rep. Bob Latta,R,"OH (40.06020999969189, -82.40426000019869)",9.626313402,12.68859731,5,0.536
Rep. Mike Kelly,R,"PA (40.79372999993973, -77.86069999960512)",9.642195176,9.642195176,1,0.326
Rep. Ted Poe,R,"TX (31.82724000022597, -99.42676999973554)",9.656611339,8.97799062,5,0.592
Rep. Paul Ryan,R,"WI (44.39319000021851, -89.8163600002137)",9.665378424,9.692281492,13,0.567
Sen. Harry Reid,D,"NV (39.49323999972637, -117.07183999971608)",9.732498769,9.889194496,23,-0.304
Rep. Billy Long,R,"MO (38.63578999960896, -92.5663000000448)",9.732708807,9.732708807,1,0.726
Rep. Bob Turner,NA,"NY (42.82699999955048, -75.54396999981549)",9.737185366,9.737185366,1,0.37
Rep. Jim McDermott,D,"WA (47.521729999839806, -120.46997999977702)",9.747014004,9.847790821,23,-0.707
Rep. John Carney,D,"DE (39.00883000020451, -75.57774000040052)",9.761836967,9.761836967,1,-0.264
Rep. Hansen Clarke,D,"MI (44.661320000317914, -84.71438999959867)",9.79516128,9.79516128,1,-0.525
Sen. Barbara Mikulski,D,"MD (39.29057999976732, -76.6092600004485)",9.805853241,8.828579926,23,-0.395
Rep. James Lankford,R,"OK (35.4720099999617, -97.52034999975251)",9.830000761,9.830000761,1,0.553
Rep. Peter DeFazio,D,"OR (44.567449999917756, -120.15502999983448)",9.83226533,8.109878414,25,-0.491
Sen. Max Baucus,D,"MT (47.06653000015956, -109.42441999998289)",9.841093618,9.536344201,31,-0.226
Rep. Andy Harris,R,"MD (39.29057999976732, -76.6092600004485)",9.852486393,9.852486393,1,0.519
Rep. Scott DesJarlais,R,"TN (35.68094000038087, -85.77449000011325)",9.871864437,9.871864437,1,0.507
Sen. Jon Tester,D,"MT (47.06653000015956, -109.42441999998289)",9.886412218,9.96681469,3,-0.278
Sen. John Barrasso,R,"WY (43.23553999957147, -108.10982999975454)",9.93651933,10.03877047,3,0.532
Rep. Steve Southerland,R,"FL (28.932039999846268, -81.9289599999039)",9.941099392,9.941099392,1,0.637
Rep. Justin Amash,R,"MI (44.661320000317914, -84.71438999959867)",9.97152565,9.97152565,1,0.837
Rep. Adam Smith,D,"WA (47.521729999839806, -120.46997999977702)",9.984028932,10.23695519,15,-0.286
Sen. Al Franken,D,"MN (46.3556499998478, -94.79419999982997)",9.988261501,9.791044599,3,-0.472
Rep. Carolyn McCarthy,D,"NY (42.82699999955048, -75.54396999981549)",10.01261016,9.060894272,15,-0.322
Rep. John Fleming,R,"LA (31.312679999782347, -92.44565000034709)",10.03720494,9.633162683,3,0.547
Rep. Tim Walz,D,"MN (46.3556499998478, -94.79419999982997)",10.06191897,9.45589632,5,-0.318
Sen. Bob Corker,R,"TN (35.68094000038087, -85.77449000011325)",10.06425485,10.16211342,3,0.381
Sen. Tom Harkin,D,"IA (42.469390000048634, -93.81649000001335)",10.08534147,10.46019521,25,-0.383
Sen. Jim Inhofe,R,"OK (35.4720099999617, -97.52034999975251)",10.10777643,8.850339999,17,0.545
Rep. Kristi Noem,R,"SD (44.353130000049646, -100.37353000040906)",10.12080178,10.12080178,1,0.377
Rep. John Shimkus,R,"IL (40.485010000411364, -88.99770999971656)",10.12259705,9.677383947,15,0.399
Rep. Steve King,R,"IA (42.469390000048634, -93.81649000001335)",10.14024202,9.7609665,9,0.654
Rep. Cedric Richmond,D,"LA (31.312679999782347, -92.44565000034709)",10.14819402,10.14819402,1,-0.458
Rep. Reid Ribble,R,"WI (44.39319000021851, -89.8163600002137)",10.15082351,10.15082351,1,0.576
Rep. Leonard Boswell,D,"IA (42.469390000048634, -93.81649000001335)",10.16184891,11.94072596,15,-0.251
Rep. Marsha Blackburn,R,"TN (35.68094000038087, -85.77449000011325)",10.21812157,9.913911437,9,0.623
Rep. Patrick McHenry,R,"NC (35.46624999963797, -79.1593199999179)",10.21845047,9.311120785,5,0.606
Rep. Tim Huelskamp,R,"KS (38.34774000000118, -98.20077999969709)",10.23278515,10.23278515,1,0.693
Sen. Amy Klobuchar,D,"MN (46.3556499998478, -94.79419999982997)",10.24111162,11.17663866,3,-0.252
Rep. David Scott,D,"GA (32.83967999993223, -83.62758000031658)",10.29979327,11.89754654,9,-0.321
Sen. Dick Durbin,D,"IL (40.485010000411364, -88.99770999971656)",10.30383915,9.874456863,13,-0.396
Rep. Alan Nunnelee,R,"MS (32.7455100000866, -89.53803000008429)",10.33893365,10.33893365,1,0.464
Rep. Jim Cooper,D,"TN (35.68094000038087, -85.77449000011325)",10.35578778,12.64456656,9,-0.168
Rep. Steve Pearce,R,"NM (34.52088000011207, -106.24057999976702)",10.40568385,8.702004998,1,0.475
Rep. Todd Rokita,R,"IN (39.76690999989677, -86.14996000035359)",10.40819089,10.40819089,1,0.635
Rep. Tom Price,R,"GA (32.83967999993223, -83.62758000031658)",10.41433438,10.27515788,5,0.642
Rep. Collin Peterson,D,"MN (46.3556499998478, -94.79419999982997)",10.41898905,7.370128281,21,-0.156
Sen. Lamar Alexander,R,"TN (35.68094000038087, -85.77449000011325)",10.43178725,10.037117,7,0.323
Rep. Robert Dold,R,"IL (40.485010000411364, -88.99770999971656)",10.43953638,10.43953638,1,0.216
Sen. Mark Begich,D,"AK (64.84507999974238, -147.72205999986895)",10.44329608,9.884166067,3,-0.265
Sen. Tom Carper,D,"DE (39.00883000020451, -75.57774000040052)",10.45066264,9.429126373,9,-0.189
Sen. Frank Lautenberg,D,"NJ (40.13056999960594, -74.2736899996936)",10.46638173,8.892749062,25,-0.417
Rep. Jeb Hensarling,R,"TX (31.82724000022597, -99.42676999973554)",10.48135428,10.08517441,9,0.745
Rep. Steve Womack,R,"AR (34.748649999697875, -92.27448999971358)",10.48409649,10.48409649,1,0.385
Rep. Sue Myrick,R,"NC (35.46624999963797, -79.1593199999179)",10.5174255,11.06623232,17,0.564
Rep. Diane Black,R,"TN (35.68094000038087, -85.77449000011325)",10.52256176,10.52256176,1,0.563
Rep. Frederica Wilson,D,"FL (28.932039999846268, -81.9289599999039)",10.52461077,10.52461077,1,-0.528
Sen. Mike Enzi,R,"WY (43.23553999957147, -108.10982999975454)",10.5294844,9.900257526,13,0.536
Rep. G.T. Thompson,R,"PA (40.79372999993973, -77.86069999960512)",10.52952723,10.92647774,3,0.353
Sen. Scott Brown,R,"MA (42.27687000005062, -72.08269000004333)",10.53798123,10.66036944,1,0.14
Rep. Jean Schmidt,R,"OH (40.06020999969189, -82.40426000019869)",10.541653,10.28087271,5,0.456
Sen. Pat Toomey,R,"PA (40.79372999993973, -77.86069999960512)",10.55653989,10.54057815,1,0.684
Rep. Martha Roby,R,"AL (32.840569999605975, -86.63186000013877)",10.57494649,10.57494649,1,0.421
Rep. Barney Frank,D,"MA (42.27687000005062, -72.08269000004333)",10.59676957,10.93028123,31,-0.545
Rep. Spencer Bachus,R,"AL (32.840569999605975, -86.63186000013877)",10.60047552,8.729368044,19,0.403
Rep. Steve Israel,D,"NY (42.82699999955048, -75.54396999981549)",10.61761703,11.10965414,11,-0.348
Sen. Mark Pryor,D,"AR (34.748649999697875, -92.27448999971358)",10.62615305,10.24196589,7,-0.217
Rep. Jason Altmire,D,"PA (40.79372999993973, -77.86069999960512)",10.64498127,12.49390706,5,-0.135
Rep. Kurt Schrader,D,"OR (44.567449999917756, -120.15502999983448)",10.64703194,9.200550044,3,-0.242
Rep. Virginia Foxx,R,"NC (35.46624999963797, -79.1593199999179)",10.68441549,11.51441629,5,0.665
Rep. Brad Miller,D,"NC (35.46624999963797, -79.1593199999179)",10.69421326,9.83455354,9,-0.392
Rep. Steven LaTourette,R,"OH (40.06020999969189, -82.40426000019869)",10.70217756,9.577295426,17,0.206
Rep. Chellie Pingree,D,"ME (45.25423000041434, -68.9850299999344)",10.70700752,11.82216879,3,-0.504
Rep. Sandy Levin,D,"MI (44.661320000317914, -84.71438999959867)",10.71169979,9.643528519,29,-0.403
Rep. Jeff Duncan,R,"SC (33.99855000018255, -81.0452500001872)",10.7237566,10.7237566,1,0.73
Rep. Rick Berg,R,"ND (47.475320000018144, -100.11841999998285)",10.72381738,10.72381738,1,0.384
Rep. Sam Johnson,R,"TX (31.82724000022597, -99.42676999973554)",10.7291433,11.0153039,21,0.617
Sen. Michael Bennet,D,"CO (38.842890000173554, -106.13314000041055)",10.74000638,10.98091322,3,-0.233
Rep. Ed Perlmutter,D,"CO (38.842890000173554, -106.13314000041055)",10.74240034,11.0435273,5,-0.328
Rep. Joe Barton,R,"TX (31.82724000022597, -99.42676999973554)",10.74846842,10.8812134,27,0.531
Sen. Debbie Stabenow,D,"MI (44.661320000317914, -84.71438999959867)",10.74924135,10.78433996,9,-0.347
Sen. Joe Manchin,D,"WV (38.66550000002513, -80.71265999975901)",10.74993555,10.78020713,1,-0.144
Rep. Steny Hoyer,D,"MD (39.29057999976732, -76.6092600004485)",10.76384059,10.1692588,31,-0.395
Rep. Peter Welch,D,"VT (43.625379999687425, -72.51764000028561)",10.76635787,9.794898585,5,-0.475
Rep. Joe Pitts,R,"PA (40.79372999993973, -77.86069999960512)",10.76713223,10.19978603,15,0.55
Rep. Cynthia Lummis,R,"WY (43.23553999957147, -108.10982999975454)",10.78270382,10.62371903,3,0.642
Rep. Pete Olson,R,"TX (31.82724000022597, -99.42676999973554)",10.78388016,10.53141704,3,0.534
Rep. Ben Quayle,R,"AZ (34.86596999961597, -111.76380999973156)",10.78574918,10.78574918,1,0.667
Rep. Scott Rigell,R,"VA (37.54268000028196, -78.45789000012326)",10.80243077,10.80243077,1,0.417
Rep. Norm Dicks,D,"WA (47.521729999839806, -120.46997999977702)",10.82470825,9.401615717,35,-0.337
Rep. Sandra Adams,R,"FL (28.932039999846268, -81.9289599999039)",10.83305057,10.83305057,1,0.538
Rep. Steve Scalise,R,"LA (31.312679999782347, -92.44565000034709)",10.83806557,10.62902546,5,0.562
Sen. Mary Landrieu,D,"LA (31.312679999782347, -92.44565000034709)",10.84550526,10.08440707,13,-0.208
Rep. James Scott,R,"GA (32.83967999993223, -83.62758000031658)",10.85012027,10.85012027,1,0.618
Sen. Kay Hutchison,R,"TX (31.82724000022597, -99.42676999973554)",10.85621564,10.30025068,17,0.358
Sen. Bernie Sanders,I,"VT (43.625379999687425, -72.51764000028561)",10.85790012,10.82875787,3,-0.541
Rep. Michael McCaul,R,"TX (31.82724000022597, -99.42676999973554)",10.86420859,11.46144825,5,0.434
Rep. Mike Conaway,R,"TX (31.82724000022597, -99.42676999973554)",10.86482078,11.71437757,5,0.6
Sen. Jim DeMint,R,"SC (33.99855000018255, -81.0452500001872)",10.873416,10.45989077,5,0.689
Sen. Jeff Merkley,D,"OR (44.567449999917756, -120.15502999983448)",10.88716111,10.70749443,3,-0.441
Sen. Roy Blunt,R,"MO (38.63578999960896, -92.5663000000448)",10.88782365,10.69991534,1,0.462
Rep. John Barrow,D,"GA (32.83967999993223, -83.62758000031658)",10.88918982,11.2579999,5,-0.132
Rep. Mike Capuano,D,"MA (42.27687000005062, -72.08269000004333)",10.89077979,9.524571901,13,-0.627
Sen. Patty Murray,D,"WA (47.521729999839806, -120.46997999977702)",10.89496534,12.00622728,17,-0.375
Rep. Judy Chu,D,"CA (37.638300000444815, -120.99958999997835)",10.89733937,10.72506788,3,-0.576
Rep. Rob Bishop,R,"UT (39.36070000030492, -111.58712999994941)",10.89914919,10.9061909,9,0.529
Sen. Dean Heller,R,"NV (39.49323999972637, -117.07183999971608)",10.91706525,11.30904753,3,0.475
Rep. Frank Guinta,R,"NH (43.65595000019255, -71.50036000041354)",10.94131093,10.94131093,1,0.452
Rep. Loretta Sanchez,D,"CA (37.638300000444815, -120.99958999997835)",10.94136251,10.45767933,15,-0.404
Rep. Cory Gardner,R,"CO (38.842890000173554, -106.13314000041055)",10.95202472,10.95202472,1,0.47
Rep. Steve Cohen,D,"TN (35.68094000038087, -85.77449000011325)",10.96042647,10.51720605,5,-0.447
Rep. Denny Rehberg,R,"MT (47.06653000015956, -109.42441999998289)",10.96521499,9.011086686,11,0.357
Rep. Jay Inslee,D,"WA (47.521729999839806, -120.46997999977702)",10.9662909,12.49223815,13,-0.361
Rep. Hal Rogers,R,"KY (37.645969999815804, -84.77496999996538)",10.96695139,11.01737416,31,0.332
Rep. Jim Matheson,D,"UT (39.36070000030492, -111.58712999994941)",10.98124346,9.908922019,11,-0.147
Rep. Rick Crawford,R,"AR (34.748649999697875, -92.27448999971358)",10.9829153,10.9829153,1,0.39
Rep. Mike Ross,D,"AR (34.748649999697875, -92.27448999971358)",11.00816589,11.78598487,11,-0.189
Rep. Bill Pascrell,D,"NJ (40.13056999960594, -74.2736899996936)",11.01155316,10.00286058,15,-0.385
Rep. Devin Nunes,R,"CA (37.638300000444815, -120.99958999997835)",11.01959668,13.1721979,9,0.498
Rep. Walter Jones,R,"NC (35.46624999963797, -79.1593199999179)",11.02540687,9.56224455,17,0.255
Sen. Richard Burr,R,"NC (35.46624999963797, -79.1593199999179)",11.03420827,10.27153443,5,0.463
Rep. Peter Roskam,R,"IL (40.485010000411364, -88.99770999971656)",11.03473829,11.35072504,5,0.454
Rep. Tim Scott,R,"SC (33.99855000018255, -81.0452500001872)",11.03762497,11.03762497,1,0.692
Sen. Sherrod Brown,D,"OH (40.06020999969189, -82.40426000019869)",11.04122803,10.89716997,3,-0.478
Rep. Larry Bucshon,R,"IN (39.76690999989677, -86.14996000035359)",11.05203366,11.05203366,1,0.409
Sen. Rob Portman,R,"OH (40.06020999969189, -82.40426000019869)",11.06587116,11.18598554,1,0.383
Rep. Maxine Waters,D,"CA (37.638300000444815, -120.99958999997835)",11.07508798,10.86445009,21,-0.713
Rep. Dennis Ross,R,"FL (28.932039999846268, -81.9289599999039)",11.08201007,11.08201007,1,0.599
Rep. Nydia Velazquez,D,"NY (42.82699999955048, -75.54396999981549)",11.08261499,10.49046458,19,-0.588
Rep. Larry Kissell,D,"NC (35.46624999963797, -79.1593199999179)",11.089339,12.78093759,3,-0.23
Rep. John Kline,R,"MN (46.3556499998478, -94.79419999982997)",11.09042733,10.41051711,9,0.518
Rep. Kevin Brady,R,"TX (31.82724000022597, -99.42676999973554)",11.10132626,10.70341838,15,0.525
Rep. Trey Gowdy,R,"SC (33.99855000018255, -81.0452500001872)",11.10406386,11.10406386,1,0.732
Rep. Bill Johnson,R,"OH (40.06020999969189, -82.40426000019869)",11.10618624,11.10618624,1,0.514
Rep. Tim Murphy,R,"PA (40.79372999993973, -77.86069999960512)",11.10854759,10.83301731,9,0.232
Rep. Jim McGovern,D,"MA (42.27687000005062, -72.08269000004333)",11.11871751,10.12885643,15,-0.569
Rep. Dana Rohrabacher,R,"CA (37.638300000444815, -120.99958999997835)",11.12704088,10.64634133,23,0.612
Rep. Michael Burgess,R,"TX (31.82724000022597, -99.42676999973554)",11.12705528,10.61371576,9,0.523
Rep. Marcy Kaptur,D,"OH (40.06020999969189, -82.40426000019869)",11.13553346,10.18833423,29,-0.364
Rep. Luis Gutierrez,D,"IL (40.485010000411364, -88.99770999971656)",11.13779176,11.630582,19,-0.52
Rep. C. W. Bill Young,R,"FL (28.932039999846268, -81.9289599999039)",11.14062956,11.73006765,41,0.323
Rep. Joe Baca,D,"CA (37.638300000444815, -120.99958999997835)",11.14498196,10.38865516,13,-0.36
Rep. Paul Tonko,D,"NY (42.82699999955048, -75.54396999981549)",11.14675494,10.39343542,3,-0.478
Rep. Tim Johnson,R,"IL (40.485010000411364, -88.99770999971656)",11.15692179,12.43813594,11,0.223
Sen. Mitch McConnell,R,"KY (37.645969999815804, -84.77496999996538)",11.15845336,10.56354832,25,0.407
Rep. Kevin McCarthy,R,"CA (37.638300000444815, -120.99958999997835)",11.16752671,9.905327689,5,0.477
Rep. Chip Cravaack,R,"MN (46.3556499998478, -94.79419999982997)",11.17342334,11.17342334,1,0.387
Rep. Jim Himes,D,"CT (41.56265999995918, -72.6498400002157)",11.17891952,10.68857069,3,-0.258
Rep. Marlin Stutzman,R,"IN (39.76690999989677, -86.14996000035359)",11.17965554,11.2987772,3,0.781
Rep. Charles Boustany,R,"LA (31.312679999782347, -92.44565000034709)",11.18300929,10.58163285,5,0.406
Rep. Marcia Fudge,D,"OH (40.06020999969189, -82.40426000019869)",11.19069793,10.58342866,3,-0.63
Rep. Mike Michaud,D,"ME (45.25423000041434, -68.9850299999344)",11.19493536,12.26120545,9,-0.306
Rep. Randy Neugebauer,R,"TX (31.82724000022597, -99.42676999973554)",11.21081811,9.592398016,9,0.622
Rep. Bob Gibbs,R,"OH (40.06020999969189, -82.40426000019869)",11.21755543,11.21755543,1,0.466
Rep. Vern Buchanan,R,"FL (28.932039999846268, -81.9289599999039)",11.22031355,11.00220436,5,0.325
Rep. John Yarmuth,D,"KY (37.645969999815804, -84.77496999996538)",11.22047341,11.05725021,5,-0.405
Rep. Ander Crenshaw,R,"FL (28.932039999846268, -81.9289599999039)",11.22521629,8.329363943,11,0.367
Rep. Tom Reed,R,"NY (42.82699999955048, -75.54396999981549)",11.23384017,11.23242037,3,0.378
Rep. Raul Labrador,R,"ID (43.682590000228515, -114.36368000023168)",11.24334549,11.24334549,1,0.675
Rep. Corrine Brown,D,"FL (28.932039999846268, -81.9289599999039)",11.24973926,11.35143072,19,-0.448
Rep. Jackie Speier,D,"CA (37.638300000444815, -120.99958999997835)",11.25168287,10.87586683,5,-0.437
Rep. Eliot Engel,D,"NY (42.82699999955048, -75.54396999981549)",11.25326661,10.98003867,23,-0.445
Sen. Sheldon Whitehouse,D,"RI (41.70828000002217, -71.5224700001902)",11.25923664,11.40970245,3,-0.485
Rep. Mike Rogers,R,"MI (44.661320000317914, -84.71438999959867)",11.27219414,11.90823499,11,0.404
Rep. Kay Granger,R,"TX (31.82724000022597, -99.42676999973554)",11.27280191,12.51301314,15,0.407
Rep. Lynn Woolsey,D,"CA (37.638300000444815, -120.99958999997835)",11.27802496,11.52678725,19,-0.602
Rep. Donna Edwards,D,"MD (39.29057999976732, -76.6092600004485)",11.27955642,11.64036048,5,-0.621
Rep. Phil Gingrey,R,"GA (32.83967999993223, -83.62758000031658)",11.28128439,10.91239791,9,0.564
Rep. Mario Diaz-Balart,R,"FL (28.932039999846268, -81.9289599999039)",11.28135388,12.12087872,19,0.298
Rep. Dan Burton,R,"IN (39.76690999989677, -86.14996000035359)",11.2893328,11.20189947,29,0.58
Rep. David McKinley,R,"WV (38.66550000002513, -80.71265999975901)",11.29332705,11.29332705,1,0.255
Rep. Lee Terry,R,"NE (41.6410400000961, -99.36572999973953)",11.29466453,9.816832242,13,0.433
Rep. Bobby Rush,D,"IL (40.485010000411364, -88.99770999971656)",11.29658092,11.7401258,19,-0.521
Rep. Dan Benishek,R,"MI (44.661320000317914, -84.71438999959867)",11.29829673,11.29829673,1,0.625
Rep. Rosa DeLauro,D,"CT (41.56265999995918, -72.6498400002157)",11.30023233,11.50569159,21,-0.446
Sen. Johnny Isakson,R,"GA (32.83967999993223, -83.62758000031658)",11.30079649,10.97999097,5,0.426
Rep. Steve Chabot,R,"OH (40.06020999969189, -82.40426000019869)",11.30351362,11.00146106,1,0.656
Rep. Tom Cole,R,"OK (35.4720099999617, -97.52034999975251)",11.30764419,10.04233842,9,0.384
Sen. Roger Wicker,R,"MS (32.7455100000866, -89.53803000008429)",11.30826094,11.42754394,3,0.381
Rep. Rob Andrews,D,"NJ (40.13056999960594, -74.2736899996936)",11.31613651,10.55875645,23,-0.317
Rep. Mel Watt,D,"NC (35.46624999963797, -79.1593199999179)",11.3239499,12.40457599,19,-0.569
Rep. Chris Murphy,D,"CT (41.56265999995918, -72.6498400002157)",11.32542369,11.44088032,5,-0.35
Rep. Mo Brooks,R,"AL (32.840569999605975, -86.63186000013877)",11.33336286,11.33336286,1,0.524
Rep. Dave Camp,R,"MI (44.661320000317914, -84.71438999959867)",11.34863768,12.33017731,21,0.383
Rep. Eric Cantor,R,"VA (37.54268000028196, -78.45789000012326)",11.35088324,10.75530301,11,0.544
Rep. Daniel Webster,R,"FL (28.932039999846268, -81.9289599999039)",11.37180455,11.37180455,1,0.499
Rep. Betty Sutton,D,"OH (40.06020999969189, -82.40426000019869)",11.37718676,10.76741012,5,-0.474
Rep. John Mica,R,"FL (28.932039999846268, -81.9289599999039)",11.38286299,14.78868463,19,0.451
Rep. Mike Coffman,R,"CO (38.842890000173554, -106.13314000041055)",11.39639447,11.70018711,3,0.548
Sen. Chuck Grassley,R,"IA (42.469390000048634, -93.81649000001335)",11.40069903,11.35413552,29,0.329
Sen. David Vitter,R,"LA (31.312679999782347, -92.44565000034709)",11.40166619,10.18732547,5,0.485
Rep. Bob Filner,D,"CA (37.638300000444815, -120.99958999997835)",11.40266006,10.40423678,19,-0.682
Rep. Doug Lamborn,R,"CO (38.842890000173554, -106.13314000041055)",11.40384295,10.57404149,5,0.719
Rep. Don Manzullo,R,"IL (40.485010000411364, -88.99770999971656)",11.42243971,9.619578906,19,0.505
Sen. Jeanne Shaheen,D,"NH (43.65595000019255, -71.50036000041354)",11.42316099,11.28573728,3,-0.31
Rep. Greg Walden,R,"OR (44.567449999917756, -120.15502999983448)",11.42571935,10.56657327,13,0.327
Rep. Shelley Berkley,D,"NV (39.49323999972637, -117.07183999971608)",11.42738241,12.61123148,13,-0.335
Rep. Dave Reichert,R,"WA (47.521729999839806, -120.46997999977702)",11.42921065,10.18782262,5,0.192
Rep. Quico Canseco,R,"TX (31.82724000022597, -99.42676999973554)",11.4391491,11.4391491,1,0.593
Rep. Sam Farr,D,"CA (37.638300000444815, -120.99958999997835)",11.4425314,10.33623431,19,-0.495
Rep. Randy Hultgren,R,"IL (40.485010000411364, -88.99770999971656)",11.4451789,11.4451789,1,0.47
Sen. Pat Roberts,R,"KS (38.34774000000118, -98.20077999969709)",11.44822065,11.05252786,13,0.408
Sen. Bob Casey,D,"PA (40.79372999993973, -77.86069999960512)",11.45086259,11.52004447,3,-0.355
Rep. Chuck Fleischmann,R,"TN (35.68094000038087, -85.77449000011325)",11.45186791,11.45186791,1,0.499
Rep. Richard Neal,D,"MA (42.27687000005062, -72.08269000004333)",11.46037959,11.94310032,23,-0.448
